UID	11RosaH	12RosaH	14RosaF	16RosaF	17Rosa-	18Rosa-	8RosaH	9RosaH	CAG-14914	CAG-14915	CMP	GMP	Gfi1.Null	Irf8.Null	LSK
Il2rb	0	0.150559677	0	0.084064265	0.111031312	0.124328135	0	0	0	0.344828497	0	0.042644337	0	0.028569152	1.056583528
Il2rg	6.34978987	6.461888664	5.691534165	6.03562391	7.446504379	6.936284583	6.691534165	6.099505617	7.970048354	7.403523376	5.474111514	5.414473836	5.808899839	5.85723458	7.540399306
Il3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	0.831877241	0.263034406	0	0.124328135	1.378511623	1.545968369	0.757023247	0.23878686	0.879705766	0.378511623	2.09085343	2.333423734	2.691534165	1.3950628	2.046141782
Il33	0.097610797	0	0	0.084064265	0	0	0.344828497	0.097610797	0.367371066	0	0	0	0.344828497	0.056583528	0.097610797
Il34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il3ra	2.63691458	1.883620816	2.073820233	1.790772038	2.700439718	3.35473424	2.111031312	2.341985747	2.61117238	1.918386234	5.510012465	5.381283373	5.325530332	5.790511412	4.880195729
Il4	1.613531653	1.89917563	0	1.485426827	0	2.121015401	0	0	0	3.10433666	0.713695815	1.042644337	0.516015147	0.263034406	2.286881148
Il4i1	0	0	0.516015147	0.40053793	0.411426246	1.883620816	0	0	0.163498732	1.974529312	0	0.263034406	0	0	0
Il4ra	4.911212202	4.64096791	4.637494325	4.438292852	5.750070486	5.686500527	5.624393382	4.849498932	5.503030646	5.935459748	3.917431755	3.950468414	4.34269696	4.004501392	5.342341397
Il5	0.321928095	0	0	0	0	0	0	0	0	0	0	0.084064265	0	0.056583528	0.150559677
Il5ra	0.50589093	0.411426246	0.189033824	0.731183242	0.23878686	1.469885976	0	0.321928095	0.298658316	0.90303827	1.485426827	1.794935663	1.021479727	0.807354922	1.292781749
Il6	1.790772038	1.361768359	0	0.22650853	0.545968369	3.49057013	0.23878686	0	1.292781749	4.385431037	0.695993813	0.650764559	0.084064265	0.137503524	0.214124805
Il6ra	3.438292852	3.116031993	3.817623258	2.788685711	6.244887059	4.351910961	5.320484678	4.307428525	5.891662208	4.22881869	5.363171077	5.35614381	4.107687869	3.84899843	4.686500527
Il6st	4.12763328	2.671293372	2.918386234	2.277984747	7.152386258	5.029452886	6.153197331	3.97819563	7.233619677	5.40053793	4.170726276	4.334139179	5.294253136	3.6622055	4.692092375
Il7	0.739848103	0.632268215	0.604071324	0	0.124328135	0	0.575312331	0.495695163	1.049630768	1.137503524	0.084064265	0.310340121	0.22650853	0.056583528	1.835924074
Il7r	0	0	0	0	0.748461233	0.214124805	0.613531653	0.137503524	1.22650853	1.372952098	0.028569152	0.150559677	0.028569152	0.070389328	3.622930351
Il9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il9r	0.163498732	0.831877241	0.124328135	1.049630768	0	0.86393845	0	0	0	0.773996325	0.028569152	0	0	0	0.687060688
Ildr1	0	0	0	0	0	0	0	0	0	0	0	0	0.028569152	0	0.722466024
Ildr2	0	0.124328135	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilf2	6.837943242	6.752882366	6.566662963	6.666898582	5.965553435	6.356672044	6.543959797	6.634302842	6.189429246	6.484460413	7.201731867	7.173027465	7.179311989	6.980825052	7.022589749
Ilf3	6.64284595	6.56270035	6.155425432	6.514437914	5.929317595	6.729416815	6.350497247	6.267723052	5.61999983	6.152994605	6.547665748	6.577428828	6.148324042	5.596040633	7.290663998
Ilk	7.318226444	7.472162804	7.768912107	7.479941901	7.892694591	7.530289278	7.307792796	7.216745858	7.445759804	7.254934119	7.176721693	7.222263604	6.756623035	7.336908182	7.12319024
Ilkap	6.347311316	6.097821455	6.167719199	6.264724074	6.186659017	6.513016928	6.224773478	6.228433921	5.584361253	6.124534929	6.360715425	6.363871925	6.468257468	6.335211682	6.613826291
Iltifb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilvbl	3.894332742	4.277984747	3.960697039	3.969933275	3.534808661	3.928844037	3.806324057	3.575312331	3.710393192	4.068670811	4.15704371	4.173926932	3.92314918	4.052241981	5.138323004
Immp1l	6.176721693	6.284847229	6.09148828	6.213541702	5.887525271	5.265286858	6.110822574	6.018812186	6.401050159	5.85698569	5.690417096	5.658497137	5.785812075	5.903761365	6.033863452
Immp2l	2.849999259	2.084064265	2.295723025	2.416839742	1.847996907	2.682573297	1.66448284	1.111031312	1.097610797	2.160274831	2.596935142	2.257010618	2.498250868	2.831877241	3.63691458
Immt	7.528727582	7.475409193	7.329482431	7.313971371	7.120082322	7.18408189	7.637494325	7.51412226	7.330379128	7.139858276	7.052568051	7.015470808	7.234290542	6.642701572	6.903399863
Imp3	6.868637384	6.977279923	6.597382189	7.148425737	6.166112857	6.584210901	6.691394579	6.702519029	5.938756261	5.636624621	6.72628629	6.730639956	7.210817432	7.035953757	7.028569152
